nonce	protected_classical	protected_phase	control_classical	control_phase	b1_classical	b1_phase
444000000000	19	16	11	10	34	23
444000000001	16	8	22	20	17	15
444000000002	17	15	13	10	24	20
444000000003	15	11	11	5	16	13
444000000004	20	15	14	12	18	17
444000000005	10	11	20	8	30	22
444000000006	17	14	24	20	28	19
444000000007	17	14	24	15	23	15
444000000008	23	22	14	11	28	20
444000000009	9	9	16	14	17	10
444000000010	27	26	17	13	21	12
444000000011	17	16	13	8	20	12
444000000012	15	11	17	16	14	16
444000000013	10	10	15	11	25	24
444000000014	15	16	18	11	20	13
444000000015	12	14	12	10	23	17
444000000016	19	12	15	13	16	12
444000000017	17	18	14	10	19	18
444000000018	16	15	15	9	20	13
444000000019	20	14	13	16	16	17
444000000020	21	15	24	20	32	19
444000000021	26	17	18	20	32	26
444000000022	15	12	18	15	24	17
444000000023	16	7	11	14	22	14
444000000024	14	8	16	11	26	16
444000000025	11	8	15	12	23	26
444000000026	10	12	16	19	26	22
444000000027	17	11	14	12	20	18
444000000028	15	14	19	11	30	20
444000000029	8	8	9	13	34	22
444000000030	18	10	18	11	22	18
444000000031	20	11	16	16	31	14
444000000032	23	17	16	18	27	18
444000000033	19	15	18	16	25	17
444000000034	17	9	15	15	21	9
444000000035	19	18	13	6	21	14
444000000036	14	12	9	14	20	10
444000000037	17	10	20	17	27	23
444000000038	22	16	18	15	21	8
444000000039	19	7	16	9	33	23
444000000040	12	12	12	6	26	14
444000000041	15	11	20	17	23	19
444000000042	15	10	11	11	19	15
444000000043	17	18	23	13	30	29
444000000044	22	19	17	18	27	23
444000000045	24	17	14	14	29	22
444000000046	23	17	18	17	23	16
444000000047	12	7	18	16	30	15
444000000048	8	9	20	16	23	13
444000000049	24	22	15	13	25	16
444000000050	20	20	10	14	26	13
444000000051	22	11	17	12	15	13
444000000052	14	12	16	12	20	17
444000000053	17	14	12	10	22	14
444000000054	18	12	16	19	25	21
444000000055	14	8	17	14	23	21
444000000056	18	17	14	13	24	14
444000000057	19	17	18	11	24	10
444000000058	8	8	11	15	27	17
444000000059	13	10	14	20	25	20
444000000060	15	16	23	14	16	13
444000000061	13	13	13	19	19	18
444000000062	11	13	29	20	19	13
444000000063	23	11	17	12	18	15
