index	nonce	sha256_prefix_12
00	276344596138707	fb557d7d0ad3
01	85161864821258	4d744ab37a0a
02	24286084177923	16168b6ba003
03	191215281597987	ade8c6ef6e23
04	95158899961608	568be86def08
05	279613259530974	fe4e890242de
06	57081868455567	33ea687e0e8f
07	219670165985461	c7c9f23618b5
08	135557031319473	7b49d4b2d7b1
09	170868413505426	9b6767171f92
10	41201480331918	2578f799728e
11	242786175545613	dcd00fbff10d
12	44338139448830	2853470d45fe
13	219262584482975	c76b0c75ec9f
14	237029123613095	d793a4b6e1a7
15	110829611625100	64cc87a1aa8c
16	112002740465934	65ddab8f310e
17	65027996597708	3b2482a33dcc
18	267314770524256	f31f11f0b860
19	172956667258075	9d4d9cb6a4db
20	122402217856381	6f52fcb70d7d
21	45789999625766	29a550a97626
22	103571274894667	5e32910c8d4b
23	235360061704396	d60f08df48cc
24	28251334844141	19b1c6c71eed
25	160842507155845	92491080f985
26	139864177729266	7f34aaa15ef2
27	97276106069237	5878dbbf54f5
28	117380101263069	6ac1af3d4edd
29	226479247224255	cdfb4f146dbf
30	257960094832311	ea9d03d196b7
31	122682803995327	6f9450f3c2bf
