nonce	shot	evaluator	predictor	classification
444000000002	801	1	1	shared
444000000002	1553	1	1	shared
444000000002	1599	1	1	shared
444000000002	1798	1	1	shared
444000000002	2578	1	1	shared
444000000002	2662	1	1	shared
444000000002	2791	1	1	shared
444000000002	4137	1	1	shared
444000000002	4307	1	1	shared
444000000002	4731	1	0	evaluator_only
444000000002	4873	1	1	shared
444000000002	6790	1	1	shared
444000000002	7800	1	1	shared
444000000002	8150	1	1	shared
444000000040	750	1	1	shared
444000000040	1967	1	1	shared
444000000040	2008	1	1	shared
444000000040	2516	1	1	shared
444000000040	3165	1	1	shared
444000000040	3455	1	1	shared
444000000040	3522	1	1	shared
444000000040	4306	1	1	shared
444000000040	4800	1	0	evaluator_only
444000000040	5061	1	1	shared
444000000040	5250	1	1	shared
444000000040	5279	1	1	shared
444000000040	5779	1	1	shared
444000000040	6219	1	1	shared
444000000040	6298	1	1	shared
444000000040	6818	1	1	shared
444000000040	7233	1	1	shared
444000000040	7614	1	1	shared
444000000040	7779	1	1	shared
444000000040	8024	1	1	shared
444000000040	8205	1	1	shared
444000000040	8550	1	1	shared
444000000042	368	1	1	shared
444000000042	1070	1	1	shared
444000000042	1227	1	1	shared
444000000042	2384	1	1	shared
444000000042	2888	1	1	shared
444000000042	3076	1	1	shared
444000000042	3314	1	1	shared
444000000042	3683	1	1	shared
444000000042	3807	1	1	shared
444000000042	4245	1	1	shared
444000000042	4853	1	0	evaluator_only
444000000042	5129	1	1	shared
444000000042	5381	1	1	shared
444000000042	5489	1	1	shared
444000000042	5623	1	1	shared
444000000042	6052	1	1	shared
444000000042	6515	1	1	shared
444000000042	7441	1	1	shared
444000000042	8136	1	1	shared
444000000042	8401	1	1	shared
