index	nonce	sha256_prefix_12
00	51002270942906	2e62e43e06ba
01	198109145041801	b42de1378b89
02	2205068785699	020168577823
03	98923242424486	59f85cb988a6
04	80717861595879	49699777aae7
05	62591983721454	38ed54f49bee
06	44525489186963	287ee5f76893
07	4955033309306	0481af00107a
08	57506744957991	344d551afc27
09	156868461609583	8eabc8ee426f
10	63920131725348	3a2290bed824
11	27290165628154	18d1fca0ccfa
12	11483855719394	0a71cb240be2
13	68601501962585	3e648827d159
14	48390961915324	2c02e61865bc
15	84361173588236	4cb9ddc8d90c
16	122784003829575	6fabe0eeaf47
17	258844554501107	eb6af1b91bf3
18	168054876255869	98d85333b67d
19	125946475516846	728c32ef13ae
20	128553068590890	74eb17fcf72a
21	272220658240417	f7954fa28ba1
22	52143167085852	2f6c86f39d1c
23	217406004895654	c5bac7b19fa6
24	79680120353432	4877f944f298
25	12269795967204	0b28c8d480e4
26	100871352542698	5bbdf122e5ea
27	80368650669477	491848dfcda5
28	152909041091447	8b11e913c377
29	120215955666664	6d55f55576e8
30	17211502708033	0fa75d814541
31	278813931379655	fd946d569bc7
