corpus	nonce	classical	phase	ancilla	classical_shot_set_sha256
H64	444000000000	19	20	0	c814dd30dcc31891ecd41cee54fe602f99e666f9ac29e22b6d61e91d09f0ca06
H64	444000000001	16	11	0	226f2783be0637269c4077ed1513ed04b3e7ac89b1a8314c9af6bbcbdb0bf808
H64	444000000002	14	9	0	6cdfb7f4d8851c15ff3673b19099186aaf47586c1271db40cc42fc340ec66d89
H64	444000000003	15	10	0	d38dddf991c65fcbd8062389ef47b34b3a2661944513f287fb342dabbbfea899
H64	444000000004	18	14	0	8412eb694e2001ec0afe67ff158026afa9a5847cdd8792c36b9e100f957d7316
H64	444000000005	12	9	0	d6b70972289800d3b0a8724f857510cd1bd74e1cf05bac8ff1d688575db227df
H64	444000000006	20	13	0	4627af36ee87d6800b53f240a04232e8613b5c0f9af3c03812b2280c234d869f
H64	444000000007	12	12	0	a7da0711ff3d1000c5a6443e468271585cc00ab7e56e73679507536113c7eba4
H64	444000000008	11	14	0	3013b98db9ffc95ebf82b32fa15405aab203626f3c2c697d7f7b347bbfb30f14
H64	444000000009	20	14	0	fe559b5b16c264684ff94ce87617835dbf24b6e971c2056402c35e67cd5057ad
H64	444000000010	13	13	0	c2900fa75ffdd5d468ddfa99dfd947abf1b8521ca99564c4d734bfacb39f8544
H64	444000000011	12	15	0	2ec201c29b11a886f2a2c53095cdb41a4b337fab3a67f22a90e4604b79743529
H64	444000000012	20	17	0	c17020927d9cf2ae1f32db521b12cdbf4b4de3ac85edc3e58f1df1ddf33e954f
H64	444000000013	18	12	0	1c599f4021278febec6b52b54c991f671bd49a637c8076cd1f4897d6882ae53a
H64	444000000014	14	10	0	c7b2017b414352696a4bf53317945757cbc3467c549c9408ae9d042cd926647f
H64	444000000015	17	20	0	63b97be3ef4473c0652cd25a0e9a0f33b54904b565735f96694b6aa1a5106412
H64	444000000016	18	14	0	793d9ab19cf4f1718fa9f9ca5d84b3aa0f4b4498fb7d418bcb66b58457e95519
H64	444000000017	15	7	0	a9bf1ccc0c801a732d7ee0e83758bd08c6d7f8cd41c256329f917292344d665c
H64	444000000018	11	11	0	9284ebe2ae3004ab702093f463f0edb147e1ede7c854334be28532bc08645ddf
H64	444000000019	17	16	0	c6c117acd5624e60ca701c9d4aa302cbfa57f000c1048d3650e31152d26f95c1
H64	444000000020	15	16	0	026c6fa513b9f10ab4b3deea363f4af174900befaf20a7ff34e099e85f8c7ab6
H64	444000000021	18	16	0	6c155ddcb6d90c0b2ecd78cad50f8293eddb2c5fab58a68f97877dd15d2d893b
H64	444000000022	18	14	0	2981e471d5581af8bb3328705663a13a13b5a0570b684c86f7757b6e17d5c314
H64	444000000023	20	13	0	f6631326cf1f86c0b92c86c02d477de426beb1b7425eba98c943c4f5be95b815
H64	444000000024	19	12	0	9761ad57b38724129b6aacddd26653dff7d6295123a4125588f33f0e64dcdf68
H64	444000000025	10	8	0	77ea8121cbee6fcfe4f59dfd36cf6e0ba93ed710de09f72ab5eb7fe694a92eb6
H64	444000000026	15	10	0	7f1b4dc8a673f38e227519f8bd47a68d1fb12ef9b79c5bb80c1d284657a19a8d
H64	444000000027	18	11	0	e7cb07f27f75ef5bd470bc3df14b422a2d99e8d974d0881e8b0a9af7c1e9452e
H64	444000000028	18	13	0	2b4823a824180333851e79769ad27ba9ff7262bbd226baef925c3a2d2578a850
H64	444000000029	17	12	0	39efc4c4d1f8da4b560961d7afc0575f66554bbd99c5863b62a704466f74cc24
H64	444000000030	14	11	0	734328b2a03a26505d077c26434313e3948263c8df488dcb7d959f6eea28be64
H64	444000000031	23	20	0	1e0cf4fc1fe53c9bdabf69285b4ef3e68a27cc552d66d2c40b6251767b5f2b2e
H64	444000000032	11	10	0	106a97823272fa7401b04898be703eddb63d86f3e16cee36e52742787bfb8dcc
H64	444000000033	9	10	0	4760c3bb7beb86db70c48fa54e51b379787b4a9c0ae3f54616e64df1b85dcbba
H64	444000000034	14	16	0	bfd76ce0db8e8247000e44acb55e67986032b5f47dd9b901043fbec3aac28c8f
H64	444000000035	19	15	0	e9d24328fd0568e65b5a9c4822c598fe1b17b2209bab22a5d98c79f4a55dced6
H64	444000000036	21	22	0	f3516d3c70e587bf6900fd6dca5ff86789099f1cba403942c3854e85dbaea247
H64	444000000037	10	12	0	716b279738c561fb6a0311cf41fe3c61b08d7bf5a620ee33c79a62fe3108a39a
H64	444000000038	19	16	0	240f0fedc906766e3730d050cc02b94822d631e285f9c264ac40d6cbfa57a352
H64	444000000039	10	12	0	a34a71fab2282ea755ff807217af36d67f1644a29660f6bf3da3d38ac1648f31
H64	444000000040	22	13	0	47af3b8c31e0816af8648caf1320956e6e84d98250a3cb8c180b09df8f79977d
H64	444000000041	20	9	0	e3058156ae57522edf71f9b632aad256b181b18abe80f571f921267897a1420c
H64	444000000042	20	21	0	9f1f0e4b49b86ddcda760b42479b6551564c12974e3cc4a2dfca7507a6cd3d08
H64	444000000043	14	19	0	1a128b8f9541f4bd0000bc393c380b9b70761c2b4b72e2a536ebe067c832ccd6
H64	444000000044	12	10	0	52096e5815f1542bec76919efeddb9178fdc8d27010f6775947a4b592629be62
H64	444000000045	14	16	0	c57b3db3523635ee8eea49467e09e2ba264f698caa8dc5e908b9de27e57d1fd7
H64	444000000046	19	14	0	951cfbffdd5b794b953718a1d75ff2f6c6e05b62e455ecd3a4498e081891fc07
H64	444000000047	22	20	0	868a6259127ec4dcf512b9d0dcc1efdaa54eaa6cf87736ad266d290477b28a88
H64	444000000048	22	16	0	d48dc83a820a843aa52e39e783344f41f0caeb99b86f3c925fb3f2b274d6d96d
H64	444000000049	16	14	0	32dac2ab16c33793028f96aecd03e1a881c055c5a232bfab4032b06320fa4bb0
H64	444000000050	25	16	0	f038529ae60d6e458820881e1bf1e349decc74243c34d640403ec12e7fef8a68
H64	444000000051	17	15	0	9642deb748ca64b01062a3301404f63b4017b5e0a16fa73287f3de28092077cb
H64	444000000052	15	13	0	c74a72d5c9d733a871a6986bd417f7a5bc726077fd60d23db76887299d91a717
H64	444000000053	21	19	0	e5799691495b118dcf59243c83293ee2573ca771790fa44ce9aa11de6890d45a
H64	444000000054	14	10	0	f4dd2d5555a56423e2666c56571aa3e0785bfd6a8ac80226fe51e3c98f1af641
H64	444000000055	12	14	0	f203dc338e8fca5fe6b52da9a71db0df10e5df68f8de099c244d9ba2f7ebed99
H64	444000000056	26	22	0	d5422174090aa440cb39630d77214b4eb55c5783e52549b9947d68e07e30a4e2
H64	444000000057	16	16	0	5a9ae90fca7a5a77f2561f7d3a89ec1f361226cd8e79379e319ec3ee2667d3d8
H64	444000000058	17	12	0	6514b1453fbe694aee28fc0c12796f669bfde15661eb4378dac17c1d983640b4
H64	444000000059	7	8	0	99cb4fb9149cd51f9623152353c41274cd4ea2f94862b4c462397fca65de40e3
