nonce	protected_classical	protected_phase	candidate_classical	candidate_phase	classical_delta	phase_delta
444000000000	19	16	11	10	-8	-6
444000000001	16	8	22	20	+6	+12
444000000002	17	15	13	10	-4	-5
444000000003	15	11	11	5	-4	-6
444000000004	20	15	14	12	-6	-3
444000000005	10	11	20	8	+10	-3
444000000006	17	14	24	20	+7	+6
444000000007	17	14	24	15	+7	+1
444000000008	23	22	14	11	-9	-11
444000000009	9	9	16	14	+7	+5
444000000010	27	26	17	13	-10	-13
444000000011	17	16	13	8	-4	-8
444000000012	15	11	17	16	+2	+5
444000000013	10	10	15	11	+5	+1
444000000014	15	16	18	11	+3	-5
444000000015	12	14	12	10	+0	-4
444000000016	19	12	15	13	-4	+1
444000000017	17	18	14	10	-3	-8
444000000018	16	15	15	9	-1	-6
444000000019	20	14	13	16	-7	+2
444000000020	21	15	24	20	+3	+5
444000000021	26	17	18	20	-8	+3
444000000022	15	12	18	15	+3	+3
444000000023	16	7	11	14	-5	+7
444000000024	14	8	16	11	+2	+3
444000000025	11	8	15	12	+4	+4
444000000026	10	12	16	19	+6	+7
444000000027	17	11	14	12	-3	+1
444000000028	15	14	19	11	+4	-3
444000000029	8	8	9	13	+1	+5
444000000030	18	10	18	11	+0	+1
444000000031	20	11	16	16	-4	+5
444000000032	23	17	16	18	-7	+1
444000000033	19	15	18	16	-1	+1
444000000034	17	9	15	15	-2	+6
444000000035	19	18	13	6	-6	-12
444000000036	14	12	9	14	-5	+2
444000000037	17	10	20	17	+3	+7
444000000038	22	16	18	15	-4	-1
444000000039	19	7	16	9	-3	+2
444000000040	12	12	12	6	+0	-6
444000000041	15	11	20	17	+5	+6
444000000042	15	10	11	11	-4	+1
444000000043	17	18	23	13	+6	-5
444000000044	22	19	17	18	-5	-1
444000000045	24	17	14	14	-10	-3
444000000046	23	17	18	17	-5	+0
444000000047	12	7	18	16	+6	+9
444000000048	8	9	20	16	+12	+7
444000000049	24	22	15	13	-9	-9
444000000050	20	20	10	14	-10	-6
444000000051	22	11	17	12	-5	+1
444000000052	14	12	16	12	+2	+0
444000000053	17	14	12	10	-5	-4
444000000054	18	12	16	19	-2	+7
444000000055	14	8	17	14	+3	+6
444000000056	18	17	14	13	-4	-4
444000000057	19	17	18	11	-1	-6
444000000058	8	8	11	15	+3	+7
444000000059	13	10	14	20	+1	+10
444000000060	15	16	23	14	+8	-2
444000000061	13	13	13	19	+0	+6
444000000062	11	13	29	20	+18	+7
444000000063	23	11	17	12	-6	+1
