index	nonce	expected_classical	classical_mask_sha256	evaluator_phase	evaluator_ancilla
00	51002270942906	9	63c29f9ba3f663cacf480033d647836be04e0d3ce11790e5f3275d988981418c	16	0
01	198109145041801	9	c8bbb69e176a9523079fdbb93c9801fc2f6701a09f68f6a1623fb4d5d3f149da	12	0
02	2205068785699	24	68a7d89112cc364f6bccea7101f770190226bf069961baab4e396d220ef15436	20	0
03	98923242424486	17	2474991be0c5dda7026ff076819aff92b21ed2655b00662d3900cd5bcc58767b	16	0
04	80717861595879	16	3d9d3096ce55eef5496792f1e9e7ae3ecd95bd2d172ed98d83ecc23f447a487f	16	0
05	62591983721454	18	c28c0b236a911fabdaa3521e850e4d01144afcb5df487677eca5b5e33a0bf1a9	18	0
06	44525489186963	10	8a5ae5662084849ff5990e0a6edb8793f8d5de074a11712c945c3838623474db	14	0
07	4955033309306	16	05e7a00b5df95715b2790f8a7d62c766f27ceec66c19d9b6c190b7eef066a06a	22	0
08	57506744957991	20	68baeade3f010628932a6eefc0bbd09df02b972b7cf7e6660bdf28778fd30a55	16	0
09	156868461609583	19	e1b419a9f6403464dbb593a8b6afc8992b5cd2b15a1aa9a67640b68c33f96372	11	0
10	63920131725348	17	668b43fecde38eb2d72b13eec297d499c542f9bb038cb6a3c84e116d97a728e7	16	0
11	27290165628154	17	f56a557251f1056b64def18a1f5721fa999b24fc0c8b6683e1d1d9776213ee42	15	0
12	11483855719394	24	d93281aea656ef394e51ac09c4e94b94290b4b3bde82c3d8b0b195ae8896b8ca	20	0
13	68601501962585	13	b27cae81daf2550e1452b34c1d09225b6fe69d9c5ecb12e8eb7b37c56743a721	11	0
14	48390961915324	15	105c65ec2cab570f39301aeb44ffb147b1de71d9494d9c95f08076defa3e64ba	18	0
15	84361173588236	17	88d165c39531eefa63b908fa159145a30b2198f433d924536d28e74cdbcf471d	13	0
16	122784003829575	10	742e21c3bc870ba96640974ba6bb1f56e83eee971201c519e3f94345096b0577	11	0
17	258844554501107	14	e6db1f4b335f45b4bd3586ed4009971184a63f6dbf9530a8691bbc0b231d6b79	12	0
18	168054876255869	28	5304e4d2d538c4394d351ec84e0a3a872bc5c2ad7c74f396da569c728be94128	26	0
19	125946475516846	18	7ca737e4140251e3d9a91c5cdb19b528e44e544dbaf07175028dc52c54221309	16	0
20	128553068590890	16	48e28f2ecf02a57f9c2e230d5abbdbea96437876dc0914dc98b7d55823baedfa	14	0
21	272220658240417	17	6bf62f156f08b907ee446291dd94c6a5f083535fcbbc87453bd3e343f5d97d03	13	0
22	52143167085852	14	01c215a035cfe1de0eba559aec2ef8c2d23d205032896307c7ba37fcf8d6892f	18	0
23	217406004895654	11	53c770220b13656178a891a4708ed1a0ece515e00ab056782517918d1f69df27	11	0
24	79680120353432	19	93421714357d376a9a8eb4625867336f1110808831ccfc71faac9f3a5ca93904	15	0
25	12269795967204	26	c7c9fa4ad2c2cbf6ef8a5f6448b93ca3ebbc398c7b4abcdb364040db7dacbe9b	21	0
26	100871352542698	16	c110cac0f43024cc9d836776b0f5d4b655e51c775760474770cd23310216ecfc	15	0
27	80368650669477	7	402faee73ff6dbfb9cd775e0069a732be0bea7e02fba1ef6005cd7b0ec8a240f	10	0
28	152909041091447	15	67300d53c70dac629a8ac63985d108baacd48df0f1f5ab097cd89fb02b6c5f85	16	0
29	120215955666664	18	382a8417b94b0cf4b45e743d9125911977f9ea1ed1528216b754c8139c4da269	20	0
30	17211502708033	17	02452d9e1c65e7404fdb6e0c2de17e8446facfd6f14180b8d6147235889b5ad1	16	0
31	278813931379655	10	29aee0af576c3cea2dfee6d726447680e19bad999ea5a04f8fc9882ca1948550	12	0
