nonce	ops_sha256	qubits	shots	predicted_classical	trusted_classical	phase_batches	ancilla_batches	first	prediction_index_sha256	trusted_index_sha256	evaluator_only	predictor_only	status
14434697671889	779eba48df245b960b53e57fbb8440c080a10fb2bd4c585e135d1b002e6fd2c6	1272	9024	21	21	12	0	18	cfb1e7f19c3f855ccfe59e1c5f3c9298ffb4bff9c3be2a5bb793cf5a6eaf2607	cfb1e7f19c3f855ccfe59e1c5f3c9298ffb4bff9c3be2a5bb793cf5a6eaf2607	-	-	PASS
28054234881313	8674397a05dd77ca33c0de80a7cbf52e36b34795355a7f0f88cc2563a95a5909	1272	9024	15	15	13	0	248	9e01b9db33a6aeafbca4a68d9cd5a8e87cf16fea8457a9f501d8fb43e1390fc4	9e01b9db33a6aeafbca4a68d9cd5a8e87cf16fea8457a9f501d8fb43e1390fc4	-	-	PASS
32953718412121	71a04bccb8d06ff06e2f607ca18a90d7aff7dff3b178809a8e01c3fbf33b5f9f	1272	9024	24	24	10	0	555	dbea41bcb06c8f8667ebd0a2f23be1b5f5cb59e0cdfb2c74321eb9fa2aae3a3d	dbea41bcb06c8f8667ebd0a2f23be1b5f5cb59e0cdfb2c74321eb9fa2aae3a3d	-	-	PASS
40261449689558	803491f69ae6c8f92a5394a72649f595793f23bf72f07b166a01f7e8c7d8b607	1272	9024	20	20	15	0	479	3d92c50bf1781a99a2316b3dfe111f835cf923916971132c9bb83707cbd81270	3d92c50bf1781a99a2316b3dfe111f835cf923916971132c9bb83707cbd81270	-	-	PASS
46136692424497	d67bf9a81bc7bd88d4ddf6a89b17eb83b3f2986134c90a8fac625cf72003575b	1272	9024	21	21	16	0	109	686abb4f066da80e951e298fb6b6176cb42302a6add4d5e09e0f069fc9833f85	686abb4f066da80e951e298fb6b6176cb42302a6add4d5e09e0f069fc9833f85	-	-	PASS
54858473828885	25545fc920df8c2fd2fed0e1788431fd197e7c5eabe08b3a2500b40b5dd8d38a	1272	9024	24	24	11	0	215	83f50900714bc83ea07da790645729386b1a7f3b93ee3d42dcb44dcb3732e0e3	83f50900714bc83ea07da790645729386b1a7f3b93ee3d42dcb44dcb3732e0e3	-	-	PASS
56169523273144	2ce198ccc800845369fb2dbd488e35d771fa03dfc2fb41086d7c3686298bb41c	1272	9024	17	17	13	0	239	f2f3b6a1892a84039ba181617fc810e7ae69b769e0501f42204ab9900c47803f	f2f3b6a1892a84039ba181617fc810e7ae69b769e0501f42204ab9900c47803f	-	-	PASS
62489561689735	a160b2647aa96cfd1afa3f23aba3d2f563c6a88a3f807ecd51f8fd918fd2722c	1272	9024	20	20	14	0	225	4d9c8568af8a2be62189243cec183fc25d5d046dea13ead1593e1cab7a97475c	4d9c8568af8a2be62189243cec183fc25d5d046dea13ead1593e1cab7a97475c	-	-	PASS
66788566090048	3cc5001287179857ac881f5838f5848cd3e29b1c09db386a22c24fbb84a5a3d4	1272	9024	12	12	7	0	334	90945e0520714306942240c3c9d20a31e3dfe7e6fbf6926a10b12843f7102327	90945e0520714306942240c3c9d20a31e3dfe7e6fbf6926a10b12843f7102327	-	-	PASS
66961008849867	37a3f16cdb9f5d22c7e380019e60c18aa3a820034db920c24e8e6555c91681ca	1272	9024	26	27	20	0	268	b82d942106bbb3706a02f93bd0bbc0876f1db2d7f7c3b0806f8be95171eac9bb	a42304be3f660e6b970024eadef0720b1d0af09f52e343a279a49fd0568370cb	8729	-	FAIL
73947130835944	112a5e78e257a149c3fd8328473f8a9492fa5c0bcdd186efd0fbcda2a718b2f3	1272	9024	10	10	9	0	1000	bf871e749b268fd33ebc9dcc1f61ac0c1d15b424d6559b2bb08614dcfdea697a	bf871e749b268fd33ebc9dcc1f61ac0c1d15b424d6559b2bb08614dcfdea697a	-	-	PASS
78730522021681	ee3e86b0f063affcee38bfc294b5cfe7a751e54cc04cff48f60d854e2d2ee86f	1272	9024	20	20	9	0	436	e7ecabd82fd5c80a1977a1b128f4f6a7a27b780e6bd49f64520c85adec88b996	e7ecabd82fd5c80a1977a1b128f4f6a7a27b780e6bd49f64520c85adec88b996	-	-	PASS
80553328580741	603f3366c2c77c94d07d5170a09da44e0a0e5cef474cb3ac3fe53d53f2d5dbd4	1272	9024	10	10	10	0	2695	d41674eb76d3c4a97484539c72c8390a9fbb0de8206c813836e65f91ef49633c	d41674eb76d3c4a97484539c72c8390a9fbb0de8206c813836e65f91ef49633c	-	-	PASS
83531622153346	794e33e875c8b26034a10219cdf5016c5092c00e1bd7845bc35ebd95d5ec15b1	1272	9024	19	19	5	0	36	75e8d3735f80a2d053c36fd8b2bbc9266cb2fc77a927212f0851954639cafaa8	75e8d3735f80a2d053c36fd8b2bbc9266cb2fc77a927212f0851954639cafaa8	-	-	PASS
85770018764164	684c0b784d6aa325ac113870e998a37e36fb98a04379b5ae1101ef8a348313e2	1272	9024	13	13	9	0	118	167591333a1d0a11345e73ab61cc8b137f8ddc032bf915089ef7b4b5e1ec80b8	167591333a1d0a11345e73ab61cc8b137f8ddc032bf915089ef7b4b5e1ec80b8	-	-	PASS
102839545427237	532242fcbf4d9f29b02a169db15d1567381cc401f39e900b75af553243f03903	1272	9024	21	21	11	0	36	aff4e8d36bfa5cf45d990dace36bd4f5aecea39247a0d8cba3470ec94d801de4	aff4e8d36bfa5cf45d990dace36bd4f5aecea39247a0d8cba3470ec94d801de4	-	-	PASS
107642421442187	be77e417c7a49abd99789170f25bf78db375693a972bc38671cadcf1595f1dd8	1272	9024	18	18	15	0	1800	424b11fc207260af08a77d31e4835c137d6ba4fc7cbd45370efce7f443a00c16	424b11fc207260af08a77d31e4835c137d6ba4fc7cbd45370efce7f443a00c16	-	-	PASS
131506502752477	4b46070aa9b4d95410fdc4aa836ff3b22ca0d96f2ec7e99e24c6507d0e6b70bd	1272	9024	17	17	13	0	951	47aab3470a67a3fb7580f95700a38aad7028091bf2f55e3654170c0ca5b8e091	47aab3470a67a3fb7580f95700a38aad7028091bf2f55e3654170c0ca5b8e091	-	-	PASS
134468023167815	4ef160458b5a69a961ea42fbf3fd11c05d7f74186a68135c3ad08e74fedf3cdb	1272	9024	11	11	7	0	291	6a36b7c258b5dad978f76bcc44760629139475beff9474d922e03e6c061b1b0f	6a36b7c258b5dad978f76bcc44760629139475beff9474d922e03e6c061b1b0f	-	-	PASS
134956192512058	b5d38086befbf1c7094c643fa48165cb82beef95b43ea3d843d91373ffcdd5bf	1272	9024	13	13	11	0	224	5b4ae6313da0de12c195a0308b3acbebcf45f0fbff36be4c417eb2a3c33984c8	5b4ae6313da0de12c195a0308b3acbebcf45f0fbff36be4c417eb2a3c33984c8	-	-	PASS
154123680082395	bbf07a802166d7dfdf132cc264a6d7b8876628186cdbf9daec0544255ff37dcb	1272	9024	15	15	12	0	91	ba6a2ded914a8a5157dbc93cd18418134ed8333e86f2190031bf1209995b56b8	ba6a2ded914a8a5157dbc93cd18418134ed8333e86f2190031bf1209995b56b8	-	-	PASS
155743465163795	682ff68b341fa2c5e07a0fcbb0d76d6c239b724a19944f787012054b6a098fa5	1272	9024	18	18	14	0	247	f876aa6cb7e741153a73e13faca1220f586c904a702a82efacc5611d93cb3792	f876aa6cb7e741153a73e13faca1220f586c904a702a82efacc5611d93cb3792	-	-	PASS
178559346308173	3eb43dcb4b14161e9a3fc6ae0181c9be0a13ffddd2bb8091af8ef5fed3a3b3cf	1272	9024	20	20	16	0	379	73e5341ebe0448b0b9a0443cf45526d28f99bf0e23a0b56e6f595fe2391930ba	73e5341ebe0448b0b9a0443cf45526d28f99bf0e23a0b56e6f595fe2391930ba	-	-	PASS
206423476941126	d0dcb6ce707bb2b43ed42f45093c3cafdb1fbced1bda0f70c3e27ad5f5596ec8	1272	9024	21	21	15	0	186	962a0f6817e772e8aa6b36b85d9bdfc661f0d3df9981b53e4e3ac677a280b86d	962a0f6817e772e8aa6b36b85d9bdfc661f0d3df9981b53e4e3ac677a280b86d	-	-	PASS
214139384381167	bfb3b53216c8f28551dd278ae548fa7d5eb8d34e609f746a1a781fa84f10b769	1272	9024	12	12	11	0	1512	083519228fc6054adf8de2288f8991ea6fd3a41841bab9ce14f808d83719990c	083519228fc6054adf8de2288f8991ea6fd3a41841bab9ce14f808d83719990c	-	-	PASS
221755254862067	01823d806d86dd9c65d674a702553387c246b772dc614c91d6b5dfb61ab4d1b5	1272	9024	23	23	12	0	237	8907d87321b27075614c2cec1602b281dab773f091a62c3b70212c33cd6e36a5	8907d87321b27075614c2cec1602b281dab773f091a62c3b70212c33cd6e36a5	-	-	PASS
225745119155250	8a226b5fa20b25cf1ddd0a06baed2319e225eda1f78f2ea0e902624b5b6cb7d2	1272	9024	21	21	17	0	283	b9067a5ea13b59c704b5a5bd477492ce225cbb045ea9bc46e02d16957864ba84	b9067a5ea13b59c704b5a5bd477492ce225cbb045ea9bc46e02d16957864ba84	-	-	PASS
243607555244145	844db74ef10188cb4e0e57170c0206466fa05bcf76587bf9d484869343188e5e	1272	9024	15	15	14	0	429	b9dbb85faba1d560fdc465a5c72a2dd5bb3f85a4391552aef02490824ae50b74	b9dbb85faba1d560fdc465a5c72a2dd5bb3f85a4391552aef02490824ae50b74	-	-	PASS
249875129723077	2ff4c32f639fb42d9228206a86448218e940f2ff1391bb88adc71f4186916776	1272	9024	15	15	11	0	1093	1d561c42825e1dd2f73491775165791defb088abc56295129c53a67c2c5707f5	1d561c42825e1dd2f73491775165791defb088abc56295129c53a67c2c5707f5	-	-	PASS
254559546051198	30e9be9a0e4d2da6bc0f24c91e271ce1ab622e632be7c796bc060d55a061062c	1272	9024	19	19	11	0	41	a56d05eadfd20926e1eea3da8c9fe415f512d78ec474025bcf3997877f610398	a56d05eadfd20926e1eea3da8c9fe415f512d78ec474025bcf3997877f610398	-	-	PASS
270504283510113	27f8592757f3c18f102a3ffe0b5b31450e10420dde0f3eb27afe8349c352702b	1272	9024	16	16	13	0	451	3878cfda21d7e278e3da89c097087216eeaa205b0d9b95ea0247e19a1eb90e5b	3878cfda21d7e278e3da89c097087216eeaa205b0d9b95ea0247e19a1eb90e5b	-	-	PASS
271341086920382	3ab0b0baae38e50cdf17e3daee6785fae4c5af055340f761ff6cb2adea867152	1272	9024	11	11	7	0	618	9dac9066a3626c7f1226ecd3ea665015fae16ed300db5d94cb5324f64fa72f34	9dac9066a3626c7f1226ecd3ea665015fae16ed300db5d94cb5324f64fa72f34	-	-	PASS
