shot	mask	class	traversal	round	schedule_index	site	width	need	excess	cause
292	8	hard	replay_mul	-	-	-	-	-	-	coefficient
925	1	soft	walk_div	673	680	post_add	13	14	1	width
1601	1	soft	walk_div	577	583	post_add	53	54	1	width
1765	1	soft	walk_div	642	649	post_add	26	27	1	width
3094	8	hard	replay_mul	-	-	-	-	-	-	coefficient
3415	1	soft	walk_div	550	556	post_add	64	65	1	width
4418	4	soft	walk_mul	445	450	post_add	105	106	1	width
4546	4	soft	walk_mul	683	690	post_add	9	10	1	width
4897	8	hard	replay_mul	-	-	-	-	-	-	coefficient
5038	1	soft	walk_div	644	651	post_add	25	26	1	width
5165	4	soft	walk_mul	594	600	post_add	46	47	1	width
5246	4	soft	walk_mul	644	651	post_add	25	26	1	width
6089	1	soft	walk_div	144	145	post_add	217	218	1	width
6515	1	soft	walk_div	681	688	post_add	10	11	1	width
6606	4	soft	walk_mul	602	608	post_add	43	44	1	width
6692	2	hard	replay_div	-	-	-	-	-	-	coefficient
7209	1	soft	walk_div	652	659	post_add	22	23	1	width
7370	1	soft	walk_div	659	666	post_add	19	20	1	width
7468	4	soft	walk_mul	671	678	post_add	14	15	1	width
7956	4	hard	walk_mul	-	-	-	-	-	-	terminal
8561	4	soft	walk_mul	634	641	post_add	30	31	1	width
8736	4	soft	walk_mul	512	517	post_add	79	80	1	width
8954	4	soft	walk_mul	144	145	post_add	217	218	1	width
