# Source-bound proposed slots only. They are not declared or assigned.
# slot	from	to_exclusive	count	state
slot01	100000036457280	100000086457280	50000000	planned_not_declared
slot02	100000086457280	100000136457280	50000000	planned_not_declared
slot03	100000136457280	100000186457280	50000000	planned_not_declared
slot04	100000186457280	100000236457280	50000000	planned_not_declared
slot05	100000236457280	100000286457280	50000000	planned_not_declared
slot06	100000286457280	100000336457280	50000000	planned_not_declared
slot07	100000336457280	100000386457280	50000000	planned_not_declared
slot08	100000386457280	100000436457280	50000000	planned_not_declared
slot09	100000436457280	100000486457280	50000000	planned_not_declared
slot10	100000486457280	100000536457280	50000000	planned_not_declared
slot11	100000536457280	100000586457280	50000000	planned_not_declared
slot12	100000586457280	100000636457280	50000000	planned_not_declared
slot13	100000636457280	100000686457280	50000000	planned_not_declared
slot14	100000686457280	100000736457280	50000000	planned_not_declared
slot15	100000736457280	100000786457280	50000000	planned_not_declared
slot16	100000786457280	100000836457280	50000000	planned_not_declared
slot17	100000836457280	100000886457280	50000000	planned_not_declared
slot18	100000886457280	100000936457280	50000000	planned_not_declared
slot19	100000936457280	100000986457280	50000000	planned_not_declared
slot20	100000986457280	100001036457280	50000000	planned_not_declared
