# corpus	nonce	expected_count	mask_sha256	raw_sha256
inherited	100000045835813	12	790f4f01966bfa2a886587a0af98c6d943c557a9cba71ef4dc4e463874e325ff	d2d0ec59a53c901bace0801b841e70d15a9e956bc5168f9acd75ea1b65339ad6
h64	444000000000	19	b629240a5d090a8aad8e757ae3671e1c66f11dd720953e091399c71542069096	b63050cf419931bd690df3f76ad6b635353dc3f5cb074cd458e4d5200fbc13b4
h64	444000000001	14	f3edc880b47099aef7a9eb88aaea6c16593271d91ba15b95194bb986a8469a7f	0aee40210a4560814d629b386e66233c89d36be85233d88d71e07f3cfbf499d4
h64	444000000002	11	64e0cc186f6a7160a1ee8d70467a768c7a88dffc2b755634aa21d97ead17b44b	c2e931d7ee190de99f800ac809a8d6c40cf3e12a869ee8c81bcef9b21ffeddbb
h64	444000000003	12	e0314fa4fc1ae7a36224a038bcb3a0107af2be5e739ab14e13a3f971f9cf255d	36731cd5e6eff0fde6bd5c52f1013855baa43c276fe831d71c9d6c0f2510f7ce
h64	444000000004	23	a59190bc25d35fc628f3e4b8b0ab121ce5c5e89cb1033c5d882df88b067c9b93	92224c6a8660b32ae44197fbace8de1f7bb1ef3cc79b8bba66300b08b374ec6e
h64	444000000005	10	0bf46fb308c9dc54dd499e01cba7821d40c4a2d29645c17e4049d63ec2752928	c0899bc43c90472be81a55348c41e9adc62746afa0725fbaf91152b9a52fd87c
h64	444000000006	15	7cad6575134444d971b17f650fca1e50bfce585ab23fa77fb4af562c91d796e6	cb908db49ef8059e77c86309ca4af908158b9ca5e920b183edca4d5bcd1e99b0
h64	444000000007	10	74e380736a23989af7f656b87f5552523fe31b104e743fbba65055359c86c727	1efe3faf43db55a555d9604f14e122ee01d8e4fa2bd02a98d2f804fcdec9cb72
h64	444000000008	17	a75034496cda5bc39cfae5d7174a7fd8842817977c633b108def01d3d922f2ce	38352b6eca81f7710fdf6d0b4995b6a84f5003055e2bd7acaa74cbc6e98984b1
h64	444000000009	26	2f53239253e710a300f653144a4f5f2eb69588c16be429c78ad3abf3af6118cc	63f13d4551ab9870f5f2eaf1a7c1695952ffb67b4581a14346e3a2be3a2e4e38
h64	444000000010	13	abbe3f47bd3c2a43eaf1a2d26cd7ec3c6f79ce3ba37da70c3ded2aaf7933989d	4d64a64ac4c49e87e5a5d34b9254a95b7026e565aa59af95deb474078605e9e2
h64	444000000011	7	aeb9e7a16b152b236e4b520561dba19c9de4703e2e88425cc7c92961c9a6f21a	acad98faff804ab17c2c542ee4164a057c0e1f64b9078efff3b12b17b93c40d7
h64	444000000012	23	7b024098538fc68c5680a762006f8dbb8193107785b532d300007a838630840d	93b4f6a1562ae5cd66db6ab088d0d160823535fe7480dace65c6b8a6a7cb2d81
h64	444000000013	15	569ba186c273e0a72b59214ce1b5bd91e4d4e8f50bcdf42ddb332740b24d7f8b	fd1d430e2994d7ec0f3b4a4cf16a8c0e2e690c1c1a48aa77a5032e28f8b7aadb
h64	444000000014	12	ffa96bd1ab5a38cc82d4ab57e854c2199b93b513a3c0f7d1e94d026f687087b7	2e5b8e56fb02614ca903b3b0e2017b9b4d8f389bba40e5e821a684c7f1c33851
h64	444000000015	11	735b7511ef9914c9113e9abf8fcf6e62baffb3c6baa789c70077769a65a46bdb	5747b3f32d25cf388aa7dc6e33acb2e1c056c0ddaffd900dd873e5143095ad85
