# Q1273 source-specific inherited+D16 oracle fixtures
# nonce	classical_faults	raw_phase_faults	clean_phase_faults	classical_sha256	clean_phase_sha256	complete_classical_set	complete_clean_phase_set
100000045835813	12	12	6	790f4f01966bfa2a886587a0af98c6d943c557a9cba71ef4dc4e463874e325ff	7b4bc204712ca6c7dfde80725f68fd9d3da6036f1bb2d4f4a39bc826a6a2226c	{93,2102,2316,4092,4659,5738,5852,5978,6185,7148,8615,8757}	{509,873,1748,3235,4972,5550}
730000000000	8	17	12	ae6f1caae2904ba4b1528210815c7fa0688e39f4d38b5c94c32edf026e13795f	dd688845122fcdc37c6c870bcc2eec37650c0ad0b3d6f5507bb14c0ddfafb182	{307,1340,1781,3391,3935,5979,7613,8367}	{529,1220,1986,2785,3147,4158,4693,4708,5764,5980,7978,8983}
730010000103	12	12	7	8e9e6d256c30c1ee2978f37c5b83ad31ade10c7a0fe1ecca46fd042fa39be6c6	305add8d1ef6b5c42f4a385635d664090064864838e4efafa18ed18eaaf4f73c	{722,1825,2897,3284,3601,5371,5521,5600,5952,6537,6704,8181}	{237,407,1483,3438,3702,3958,5442}
730020000206	12	9	4	5cc7eadcee781c7cd7996aa39662299102ba96eb4f6f08396c8157ee175b3e57	d867a0fa50db1a3075dad489f5ad1a6adbc5c545a8d42769ca201f65a54eeb6b	{223,1851,2642,2881,4601,4804,4855,5033,5431,6526,7851,8134}	{1604,2676,4830,5333}
730030000309	8	7	4	c37556dc725e4b2ba7316986ef6698958edff3a3bce36cfba200bd95b5063489	419f7b950247e1559b0e447746bc9d1f8181599c44ba634b77db97648e843345	{810,2890,2968,4791,5044,6606,8549,8775}	{681,2972,3821,8563}
730040000412	19	12	4	b82d1c3d799c6d169ede04562578d958b7a2d17ac5fccdb4dd67c7c86d16b135	de6f56c864b0337fd27952ed14492a61e2e76ea1983fbb584f33b7ed2ea5bfd2	{452,814,821,1345,1799,2725,2740,2871,3309,3608,4430,5433,7396,7597,7694,7770,8243,8398,8504}	{623,1533,1678,8886}
730050000515	14	10	4	601c8b92f0cecdeb13ce852072c87ea4a7b2ec2e7ebbdc721ffbc5ed43627f5f	ecb4b8605a9ff976c532c800a724b17958cedf3521080898b3bd820077b6e966	{1115,1355,1779,1877,3894,4305,4309,5854,5873,6498,6806,7903,8243,8479}	{639,869,2469,8637}
730060000618	11	5	3	d57feff138bc0058992fdc68d07ca6bcc2b5dc26b35551307a4c8a2841513a34	d470981f696d1b753e7bf668f86e94581cc0d2aa1221a9c014388b128f6e99d7	{1024,1073,1075,1683,2120,3356,5227,7183,7608,8258,9009}	{2702,3012,6387}
730070000721	21	11	4	d9bfb2fc4f2b3cfdabede6d98df9ade6e9c25315b2a287b4a9e713854adb1e82	ccf0980df3457b7eebb0d54fd5d9a4982ccf352675b9153541e37e6712e7e48c	{565,668,1031,1141,1646,2319,2493,3531,4145,4651,5485,6057,6308,6903,6971,7186,7466,7567,7892,8649,8805}	{466,2775,2806,4081}
730080000824	16	16	5	244efe5b8f5ec2a285de039a4d3ea93de259f9ec1bc3b863fea902b5fe6ff260	27967c8c5c63539242385d9964ce5b8d4117dbf57715e1c7196b7f44d78f78dd	{236,287,1015,3536,3933,5124,5253,5868,5980,6544,6622,7136,7229,7725,8281,8777}	{1406,1424,6600,7096,8651}
730090000927	11	12	5	cdc533988713481e1bab42944b7bb809e5f780a552413145d60f11a295c3c116	2a4ba8b3cec44d847bc3b15562cc6977cf34ea69e70462b499cb0106b3e1370c	{418,1501,2256,3591,4008,4046,4229,4841,5223,7786,8894}	{3651,5926,6937,7024,8843}
730100001030	19	17	5	598d73d5f6039bebfa9d6e218aaaee1ea2250b8b4bf1614c00ed0517304c41b0	24d31e4f03dac0568423d5f6010594a993591e4f0df6013abd63b77cc1842c9a	{45,432,488,815,1656,1808,1903,2348,2766,3083,3473,4216,6202,6790,7954,7982,8082,8559,8725}	{2497,2847,3254,3783,8392}
730110001133	19	10	3	46bab2c0174f671ef8abf7e010edc20ef44f32eeb626a4ada9bfb85812e17026	75cbdc1656c1008161b1b6d7336ca183afd7dbc7e2fb37e84a222445beb967ed	{182,665,720,1083,2509,4245,4513,4535,4634,5023,5153,5275,5998,6011,7540,7803,8050,8718,8735}	{105,1679,1860}
730120001236	15	14	4	7965b1250384ea2e014206246ef2b8642619ddfb8efa2d699e87b2b837c61a6b	67bab9a128268b8536c81b03dbbd9e215f78325672870ba0edec62a6583be346	{417,697,772,1198,1295,2493,2668,3053,3794,6182,6232,6508,7495,7682,8350}	{1084,3390,7602,8436}
730130001339	12	12	6	480831a0db836f06d9380f0fc641e17327dd1125f4093d96a61e0b40dfdae719	7e5887a8e0155398257df23e1515eca32b33e4b10806f2be9e8bff81eee5493b	{549,2808,3849,4213,5048,5646,5926,6483,6563,7027,7343,8730}	{911,3643,4684,4821,4963,8389}
730140001442	19	12	4	fd7744b179e46d282ed9b4a22a8feb33cc6ff9ccf26ca86e52c09275678c6347	6a5d640f4a7205745f79303e632c89baa7fb6897c62746bfd118066c5d0e8907	{297,826,2991,4396,4882,5463,5497,5759,6534,7029,7139,7423,7594,7712,7905,8617,8669,8790,8878}	{1356,4699,7899,8003}
730150001545	16	12	7	f73b2b1b99e442e55a736530c4cef1884a3d313ae64e2f6e527133a9def13213	25f7e0be5e91a7ffc954231e8f60721c33046a0fee02e667bebfbf2f84a0ff17	{173,318,1023,1270,1470,1634,2760,2797,4166,6100,6286,7096,7548,7918,8259,8396}	{80,521,1601,1966,2181,2503,3664}
