round,width
0,259
1,258
2,258
3,258
4,258
5,258
6,258
7,258
8,258
9,258
10,258
11,258
12,258
13,258
14,258
15,258
16,258
17,258
18,257
19,257
20,257
21,257
22,257
23,257
24,257
25,256
26,256
27,255
28,255
29,255
30,255
31,255
32,254
33,254
34,254
35,253
36,253
37,253
38,252
39,252
40,252
41,252
42,251
43,251
44,250
45,250
46,250
47,250
48,250
49,250
50,249
51,249
52,248
53,248
54,247
55,247
56,247
57,246
58,246
59,246
60,246
61,245
62,245
63,245
64,245
65,244
66,244
67,243
68,243
69,243
70,242
71,242
72,242
73,241
74,241
75,241
76,240
77,240
78,240
79,240
80,239
81,239
82,239
83,239
84,238
85,238
86,238
87,238
88,237
89,237
90,236
91,236
92,236
93,236
94,235
95,235
96,234
97,234
98,233
99,233
100,233
101,232
102,232
103,232
104,232
105,231
106,231
107,231
108,231
109,230
110,230
111,229
112,229
113,229
114,228
115,228
116,228
117,227
118,226
119,226
120,225
121,225
122,224
123,224
124,224
125,224
126,223
127,223
128,222
129,222
130,222
131,222
132,221
133,221
134,221
135,220
136,220
137,220
138,220
139,219
140,219
141,219
142,218
143,218
144,217
145,217
146,217
147,216
148,216
149,216
150,215
151,215
152,215
153,214
154,214
155,214
156,214
157,213
158,213
159,212
160,212
161,211
162,211
163,210
164,210
165,209
166,209
167,209
168,209
169,209
170,209
171,208
172,208
173,207
174,207
175,207
176,206
177,206
178,205
179,205
180,205
181,204
182,204
183,203
184,203
185,203
186,203
187,202
188,202
189,202
190,201
191,201
192,200
193,200
194,200
195,200
196,200
197,199
198,199
199,198
200,198
201,197
202,197
203,197
204,196
205,196
206,195
207,195
208,194
209,194
210,194
211,194
212,193
213,193
214,193
215,193
216,192
217,192
218,191
219,191
220,191
221,190
222,190
223,190
224,189
225,189
226,188
227,188
228,188
229,187
230,187
231,186
232,186
233,185
234,185
235,184
236,184
237,184
238,183
239,183
240,183
241,183
242,182
243,182
244,181
245,181
246,180
247,180
248,180
249,180
250,180
251,179
252,179
253,178
254,178
255,177
256,177
257,176
258,176
259,175
260,175
261,174
262,174
263,174
264,174
265,173
266,173
267,172
268,172
269,172
270,171
271,171
272,171
273,171
274,170
275,170
276,169
277,169
278,168
279,168
280,168
281,168
282,167
283,167
284,167
285,166
286,166
287,166
288,165
289,165
290,164
291,164
292,164
293,163
294,163
295,162
296,162
297,161
298,160
299,160
300,160
301,159
302,159
303,159
304,159
305,159
306,158
307,158
308,157
309,157
310,156
311,156
312,156
313,155
314,155
315,155
316,155
317,154
318,154
319,153
320,153
321,152
322,152
323,151
324,151
325,150
326,150
327,150
328,150
329,150
330,149
331,149
332,148
333,148
334,147
335,147
336,146
337,146
338,146
339,146
340,145
341,145
342,145
343,145
344,144
345,144
346,144
347,143
348,143
349,142
350,142
351,141
352,141
353,140
354,140
355,140
356,139
357,139
358,138
359,138
360,137
361,137
362,137
363,136
364,136
365,135
366,135
367,135
368,135
369,134
370,134
371,134
372,133
373,133
374,132
375,132
376,132
377,132
378,131
379,131
380,130
381,130
382,130
383,129
384,129
385,128
386,128
387,128
388,128
389,127
390,127
391,127
392,126
393,126
394,125
395,125
396,124
397,123
398,123
399,122
400,122
401,122
402,122
403,121
404,121
405,121
406,121
407,120
408,120
409,119
410,119
411,119
412,119
413,119
414,118
415,118
416,117
417,117
418,117
419,116
420,116
421,115
422,115
423,115
424,114
425,114
426,114
427,114
428,113
429,113
430,112
431,112
432,111
433,111
434,111
435,111
436,111
437,110
438,110
439,109
440,109
441,108
442,108
443,107
444,107
445,106
446,106
447,105
448,105
449,105
450,105
451,105
452,104
453,104
454,103
455,103
456,102
457,102
458,101
459,101
460,100
461,100
462,100
463,100
464,99
465,98
466,98
467,97
468,97
469,96
470,96
471,95
472,95
473,95
474,95
475,94
476,94
477,94
478,93
479,93
480,92
481,92
482,92
483,91
484,91
485,90
486,90
487,90
488,90
489,89
490,89
491,89
492,88
493,88
494,87
495,87
496,86
497,86
498,86
499,86
500,85
501,85
502,84
503,83
504,83
505,83
506,83
507,82
508,82
509,81
510,81
511,80
512,79
513,79
514,79
515,79
516,78
517,78
518,77
519,77
520,76
521,76
522,75
523,75
524,74
525,74
526,73
527,73
528,73
529,72
530,72
531,72
532,71
533,71
534,70
535,70
536,70
537,69
538,69
539,69
540,69
541,68
542,68
543,68
544,67
545,67
546,67
547,66
548,66
549,65
550,65
551,65
552,64
553,64
554,64
555,64
556,63
557,63
558,62
559,61
560,61
561,61
562,61
563,60
564,60
565,59
566,59
567,58
568,58
569,57
570,57
571,56
572,56
573,55
574,55
575,55
576,54
577,54
578,54
579,53
580,53
581,52
582,52
583,51
584,51
585,50
586,50
587,50
588,49
589,49
590,48
591,48
592,48
593,47
594,47
595,46
596,46
597,45
598,45
599,45
600,45
601,44
602,44
603,43
604,43
605,43
606,42
607,42
608,41
609,41
610,40
611,40
612,40
613,40
614,39
615,39
616,38
617,38
618,37
619,37
620,36
621,36
622,36
623,35
624,35
625,35
626,34
627,34
628,34
629,34
630,33
631,33
632,32
633,32
634,31
635,31
636,30
637,30
638,29
639,29
640,28
641,28
642,27
643,27
644,26
645,26
646,25
647,25
648,25
649,25
650,24
651,24
