# q1274 repair-r100 parity fixtures v1
# rule: seed_i = "ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|%02d" % i, for i=0..31
# rule: sha_i = lowercase SHA-256(seed_i UTF-8); nonce_i = int(sha_i[0:12], 16), so 0 <= nonce_i < 2^48
# source_commit	fe0b7bac6348fb35b7680784d4295899e498d0e3
# evidence_commit	d793aa293823b7541c933fa666dd5fc830ac58ea
# target_ops_sha256	4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c
# target_ops_count	12920073
# target_qubits	1274
index	nonce	seed	sha256
0	216979462201002	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|00	c55777c49eaaee0bd2dca9ad6148f3d3ea3fb9ff7840114c1bd710cd6b4bbdd1
1	236196892829662	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|01	d6d1dfe4e7decd83f757cda01d21910a5ae0decc892d1873f076539d1a49c597
2	271225631924494	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|02	f6ada371e10eae39a724c431bf75a3887c2f5b9459d581392ba1ed1694e7f8f1
3	12909430816056	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|03	0bbdb609bd38bf9ba883256bd20f3a96d7eb7e0301bd0332d2af8465597a527d
4	65511261373299	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|04	3b95077683735ee94172ace2c171ee74262a7282a9a1a7850aac862ad15b89ec
5	218618161751394	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|05	c6d501df65621d189c726f6aaa1f525c76b57234dd6dd2940423c7a0f6c9d7b1
6	215019771380650	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|06	c38f3117c3aa631a7fb6defba98a9972010d2551232a603c0c85f375f4fba9e5
7	265329689166671	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|07	f150e1df034f2329c19f0e7788f4c9391d9714c90a11466591ee714e757ca7bc
8	40997543337917	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|08	25497c01dfbda783a4c08e09c6ed00ef30806be0536203f7178e62faafe22301
9	254645289341974	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|09	e7993a03d416c4b22d8359ca3eaaf8f2807bbbd0ac1b8bbf76f4ce40150fe098
10	229473962843453	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|10	d0b4920a5d3dc22745e3d23ef901d229663ad10f72f7eca64815b4c1bd85052d
11	144931616175564	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|11	83d0857fb5cc1ad71e8c9c77a67207ef247352fadba37fa6540963d52598f82a
12	93647645600939	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|12	552c0aa66cabad13fdbb7245ac6e52e872d3a8ff6ff474caf5755ff047843b8c
13	143995177949366	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|13	82f67d6e58b6dcbb11f238e700330654fa97b006a9cd11b487e3226a69174f89
14	278621377585595	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|14	fd67983ce1bbafcca85ded3adc652bfefa948af1d9661438c7a1184dcda4c934
