# blinded disjoint32 exact clean-phase fixtures
# nonce	classical_faults	clean_phase_faults	sha256(sorted newline-delimited shot indices)	complete_sorted_set
700000000000	12	9	bb9cf249cd9e7f00df7c2886d43478c178df56bed3cf9d44e4d440a34acb88eb	{842,1305,2640,3368,5149,5626,7032,7438,8806}
700010000019	9	5	3d3005ca179826e81d9eb5c44e93b48196901bc3424a95369edd961ff48e14d7	{3102,3319,4324,4776,4784}
700020000038	13	7	d5be3216d10ca987e4e46d166651a3f934c83443b2672e0907739ed0cfe9374e	{1288,1656,5221,5506,5859,6564,6975}
700030000057	15	6	8dbe97798ebd25d56df165a3154c78d3cba1c3aded37a0181cbb18540e6fdea3	{580,1036,1462,2723,8039,8890}
700040000076	18	1	780656092d39b41a254f622c94e438dbf92e77fc3fc41a05178e4329342fcce2	{7694}
700050000095	13	3	01d0119c3e4ae480e4d13d71994466bd2d44ffc32c818ced900e41025730f4d3	{1776,4723,8954}
700060000114	12	7	ed2e6fb31c27f4a7b73b62fa9b5349f830da44bf1d7fe7efaf368c0526030311	{239,530,1485,2924,4227,7567,8317}
700070000133	19	1	628efdfb66f25e069e5f65a33a7fea397f6734ea14547cc5f94eb35ad74f3ce0	{7893}
700080000152	13	2	f844ff7a8c2d0574d888b2cbc0c5e89a4982adca42361777ee7a65f40702a864	{2027,3442}
700090000171	15	4	97c6aa32ba2c496b5dcbf4b1880b8eb39a852b6282f3649064f91e953a9b47d6	{1280,2752,3175,6147}
700100000190	17	7	549657abfd9e2140b634258b79a656d260d8b714acf46b25414476787c731e7e	{626,1850,4077,5183,6057,7401,7922}
700110000209	19	3	714d3d48e5f0c88d63adb7742cfbcf576b6c09744cff0b9f8979a54c13d379a0	{749,7375,8779}
700120000228	15	7	a6186de9c7e28b756767b46c7c63598850d105c84d325263e0965989a3416f7a	{967,1989,2710,3563,4126,5045,6174}
700130000247	12	3	cb2bad97db1e0edf55c7787910c1423306d886f13542d062ef8869d82a1a5349	{2866,4356,6749}
700140000266	15	4	21dfd680cddbfebbee85334a306621a6c56c730f6f1381ec1297b36f63911391	{1722,1878,4182,7021}
700150000285	9	7	d95f9fa7b486628977479fd7739df66040ca946cec4fcd068841d74bbcb33cd4	{136,1902,2221,2653,3205,6195,6241}
700160000304	11	5	53a0cf8a3fa664bde156d838ae6d26ed12ac9f468472487e55ecc5f3618619b3	{2421,4162,5532,8505,8901}
700170000323	17	4	d1e995f5b3de0205d9fc5fce6ec6aba9807a9d4dbff756c600b9f9db33074dcc	{3767,4641,6919,8721}
700180000342	8	2	806297e22850cfaa5b925850553b4f8cb9cdf3c1ceae01594a3351a35423cb72	{2746,3549}
700190000361	9	10	4cb5cf51f130489c979018bf90c77f33ce707469c17c1e4a3eae23b1da667d47	{244,1991,2334,2602,2714,5373,5851,6017,6203,7967}
700200000380	11	5	b172e13fefdc85310a8a1a19ace8d8978e4989b9a17639ae318a96d0826ab89b	{3171,4484,7984,8414,8954}
700210000399	14	4	4390360ff0d4be50a2f6fa1a81e178dcba6eee147e1e61448ba3d5914c218377	{5824,6838,8724,9011}
700220000418	10	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	{}
700230000437	13	8	1752a6afb41ae485f2f7fe006ce738b49ae27ef9c86cbe397e94b79c0a5d8c30	{753,4440,5049,6895,7582,7868,8312,8577}
700240000456	8	5	767f3f8c91d5426baf3c6c43e7cfaf2da8a4980770e3b870919ad9e493370ac0	{1184,2740,3293,7193,7370}
700250000475	14	3	b840cd17814e806f0f8cc2627721788077caf6c333596be7198cc23478c8f583	{4089,6309,8086}
700260000494	13	3	d973be7466402ab97605360f21bf47f0227c1a9121e71d052ba984c43ef7ef10	{3894,4409,8108}
700270000513	9	3	db1c3d887f1a7cc3e11340adfc90e2d83ff418134c811500eb7c46771f93ac5c	{374,3019,4481}
700280000532	13	6	d6c487881dcd112b60d22a2c89c8723dc53eb426f56ed9dd4ab348f828d9e421	{832,1022,1886,2660,5876,6409}
700290000551	19	6	96d9b83eed19f4449e5d035f76eb6df6a88e47a61950dbc7d9479185183c5279	{1139,1350,1784,3811,5057,5610}
700300000570	10	4	ca1a6e8f7d30d216a5d2050fe96876a227e8d3163137811f528d76c1c359968d	{2951,5146,5363,5772}
700310000589	11	2	b3cba63aaf9f620e341002d144c72129e541852c2cf2fdf3fa328fdbb3957a6a	{789,8378}
