# q1274 repair-r100 exact classical failing-shot sets
# Every row appeared identically in the final ppcpu predictor and the logging-only full 9024-shot evaluator.
# source=fe0b7bac6348fb35b7680784d4295899e498d0e3 evidence=d793aa293823b7541c933fa666dd5fc830ac58ea ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c
# mask: 1=walk_div 2=replay_div 4=walk_mul 8=replay_mul 16=result
case	nonce	shot	mask
inherited	251000962439	474	8
inherited	251000962439	1000	4
inherited	251000962439	1837	1
inherited	251000962439	2602	1
inherited	251000962439	2651	8
inherited	251000962439	3402	4
inherited	251000962439	3561	8
inherited	251000962439	3755	1
inherited	251000962439	3772	4
inherited	251000962439	4522	1
inherited	251000962439	4634	4
inherited	251000962439	4804	4
inherited	251000962439	5152	1
inherited	251000962439	5359	8
inherited	251000962439	6418	1
inherited	251000962439	6586	1
inherited	251000962439	6687	4
inherited	251000962439	7057	4
inherited	251000962439	7067	1
inherited	251000962439	7915	4
inherited	251000962439	8123	4
inherited	251000962439	8998	8
fixture-0	216979462201002	256	1
fixture-0	216979462201002	847	4
fixture-0	216979462201002	1330	1
fixture-0	216979462201002	1738	4
fixture-0	216979462201002	1814	4
fixture-0	216979462201002	3409	1
fixture-0	216979462201002	3438	1
fixture-0	216979462201002	4347	1
fixture-0	216979462201002	5018	4
fixture-0	216979462201002	5237	1
fixture-0	216979462201002	5579	4
fixture-0	216979462201002	6352	1
fixture-0	216979462201002	6989	1
fixture-0	216979462201002	7236	8
fixture-0	216979462201002	7813	4
fixture-0	216979462201002	8421	1
fixture-0	216979462201002	8433	4
fixture-0	216979462201002	8767	4
fixture-1	236196892829662	190	1
fixture-1	236196892829662	459	4
fixture-1	236196892829662	2754	4
fixture-1	236196892829662	2833	2
fixture-1	236196892829662	3013	1
fixture-1	236196892829662	3030	1
fixture-1	236196892829662	3267	4
fixture-1	236196892829662	3514	4
fixture-1	236196892829662	4029	4
fixture-1	236196892829662	4853	4
fixture-1	236196892829662	6683	8
fixture-1	236196892829662	6832	4
fixture-1	236196892829662	6987	4
fixture-1	236196892829662	7227	1
fixture-1	236196892829662	7695	1
fixture-1	236196892829662	7797	8
fixture-2	271225631924494	3589	4
fixture-2	271225631924494	6270	2
fixture-2	271225631924494	6285	4
fixture-2	271225631924494	7034	1
fixture-2	271225631924494	7884	1
fixture-2	271225631924494	8652	4
fixture-3	12909430816056	22	1
fixture-3	12909430816056	88	8
fixture-3	12909430816056	98	1
fixture-3	12909430816056	652	1
fixture-3	12909430816056	665	1
fixture-3	12909430816056	1238	1
fixture-3	12909430816056	2379	4
fixture-3	12909430816056	2385	4
