=== quantum_ecc: build_circuit (untrusted stage) ===

-- building circuit --
ALLOC_NEAR active=1267 next_idx=1266 phase='pp_div_replay' ops_idx=913421 free_pool=0 caller=src/bin/../point_add/mod.rs:487
B0_CENSUS_BEGIN best_active=1267 best_ops=913421 best_phase=pp_div_replay n_live=1267 n_groups=9 win=[913165,913677]
B0_OWN count=333 phase=pp_div_walk caller=src/bin/../point_add/pingpong_div.rs:1668
B0_OWN count=256 phase=init caller=src/bin/../point_add/pingpong_div.rs:2896
B0_OWN count=256 phase=pp_div_replay caller=src/bin/../point_add/pingpong_div.rs:373
B0_OWN count=146 phase=init caller=src/bin/../point_add/pingpong_div.rs:2895
B0_OWN count=146 phase=tlm_inverse caller=src/bin/../point_add/arith/adder.rs:341
B0_OWN count=126 phase=pp_div_replay caller=src/bin/../point_add/pingpong_div.rs:1992
B0_OWN count=2 phase=pp_div_replay caller=src/bin/../point_add/pingpong_div.rs:2135
B0_OWN count=1 phase=pp_div_walk caller=src/bin/../point_add/pingpong_div.rs:852
B0_OWN count=1 phase=pp_div_walk caller=src/bin/../point_add/pingpong_div.rs:925
B0_CENSUS_END
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=914706 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=917957 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=919242 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=922493 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=923778 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=927029 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=928314 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=931565 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=932850 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=936101 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=937386 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=940637 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=941922 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=945173 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=946458 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=949709 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=950994 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=954245 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=955530 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=958781 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=960066 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=963317 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=964602 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=967853 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=969138 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=972389 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=973674 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=976925 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=978210 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=981461 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=982746 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=985997 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=987282 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=990533 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=991818 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=995069 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=996354 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=999605 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1000890 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1004141 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1005426 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1008677 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1009962 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1013213 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1014498 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1017749 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1019034 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1022285 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1023570 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1026821 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1028106 free_pool=1 caller=src/bin/../point_add/mod.rs:487
ALLOC_NEAR active=1267 next_idx=1267 phase='pp_div_replay' ops_idx=1031357 free_pool=1 caller=src/bin/../point_add/mod.rs:487
