role	nonce	shot	mask
calibration	8107117281543	728	1
calibration	8107117281543	1210	1
calibration	8107117281543	1776	4
calibration	8107117281543	3082	4
calibration	8107117281543	4047	1
calibration	8107117281543	5502	8
calibration	8107117281543	5914	1
calibration	8107117281543	6800	4
calibration	8107117281543	6839	4
calibration	8107117281543	7178	4
calibration	8107117281543	7448	4
calibration	8107117281543	7864	4
calibration	8107117281543	8243	4
calibration	8107117281543	8425	4
calibration	8107117281543	8789	1
blind-0	17527543314687	193	4
blind-0	17527543314687	1049	4
blind-0	17527543314687	1327	4
blind-0	17527543314687	1940	8
blind-0	17527543314687	3239	4
blind-0	17527543314687	3305	4
blind-0	17527543314687	4185	4
blind-0	17527543314687	4447	8
blind-0	17527543314687	4486	8
blind-0	17527543314687	5642	1
blind-0	17527543314687	5810	1
blind-0	17527543314687	5816	4
blind-0	17527543314687	5953	1
blind-0	17527543314687	6026	1
blind-0	17527543314687	6278	1
blind-0	17527543314687	6383	8
blind-0	17527543314687	7063	8
blind-0	17527543314687	7208	4
blind-0	17527543314687	7687	1
blind-0	17527543314687	8184	1
blind-1	15931035271292	396	4
blind-1	15931035271292	468	4
blind-1	15931035271292	979	4
blind-1	15931035271292	1538	1
blind-1	15931035271292	2967	1
blind-1	15931035271292	3383	1
blind-1	15931035271292	4215	1
blind-1	15931035271292	4507	1
blind-1	15931035271292	6110	8
blind-1	15931035271292	6569	2
blind-1	15931035271292	7834	4
blind-1	15931035271292	7836	4
blind-1	15931035271292	8229	4
blind-2	50131060585572	613	8
blind-2	50131060585572	1156	8
blind-2	50131060585572	1229	2
blind-2	50131060585572	1265	4
blind-2	50131060585572	1295	1
blind-2	50131060585572	1554	4
blind-2	50131060585572	2301	4
blind-2	50131060585572	2557	4
blind-2	50131060585572	2959	4
blind-2	50131060585572	4051	1
blind-2	50131060585572	4437	4
blind-2	50131060585572	5855	4
blind-2	50131060585572	6294	2
blind-2	50131060585572	6371	4
blind-2	50131060585572	6648	8
blind-2	50131060585572	7705	4
blind-2	50131060585572	7709	1
blind-2	50131060585572	7959	4
blind-2	50131060585572	8357	8
blind-3	264024562862548	91	4
blind-3	264024562862548	118	1
blind-3	264024562862548	215	1
blind-3	264024562862548	537	1
blind-3	264024562862548	2342	1
blind-3	264024562862548	2719	8
blind-3	264024562862548	3063	4
blind-3	264024562862548	3157	4
blind-3	264024562862548	3189	4
blind-3	264024562862548	3210	4
blind-3	264024562862548	3370	4
blind-3	264024562862548	3638	4
blind-3	264024562862548	4457	8
blind-3	264024562862548	4516	4
blind-3	264024562862548	4722	4
blind-3	264024562862548	4840	4
blind-3	264024562862548	5182	4
blind-3	264024562862548	6008	4
blind-3	264024562862548	6979	4
blind-3	264024562862548	7430	2
blind-3	264024562862548	8094	4
blind-3	264024562862548	8941	4
blind-4	86441894593936	89	4
blind-4	86441894593936	692	4
blind-4	86441894593936	1282	1
blind-4	86441894593936	1442	1
blind-4	86441894593936	1452	8
blind-4	86441894593936	2277	1
blind-4	86441894593936	2755	1
blind-4	86441894593936	2862	1
blind-4	86441894593936	3028	8
blind-4	86441894593936	3069	4
blind-4	86441894593936	3103	4
blind-4	86441894593936	3692	4
blind-4	86441894593936	3786	4
blind-4	86441894593936	3788	1
blind-4	86441894593936	5794	4
blind-4	86441894593936	6062	4
blind-4	86441894593936	6542	4
blind-4	86441894593936	6829	1
blind-4	86441894593936	7814	4
blind-4	86441894593936	7960	1
blind-4	86441894593936	8938	4
blind-5	87110418016548	10	8
blind-5	87110418016548	381	1
blind-5	87110418016548	890	1
blind-5	87110418016548	976	4
blind-5	87110418016548	1792	4
blind-5	87110418016548	1815	2
blind-5	87110418016548	3256	4
blind-5	87110418016548	3751	1
blind-5	87110418016548	5846	4
blind-5	87110418016548	6764	4
blind-5	87110418016548	6866	4
blind-5	87110418016548	7984	4
blind-5	87110418016548	8460	1
blind-5	87110418016548	8841	4
blind-5	87110418016548	8963	8
blind-6	137270568329738	137	1
blind-6	137270568329738	356	4
blind-6	137270568329738	499	1
blind-6	137270568329738	608	1
blind-6	137270568329738	617	4
blind-6	137270568329738	1035	1
blind-6	137270568329738	2049	4
blind-6	137270568329738	3063	1
blind-6	137270568329738	3197	4
blind-6	137270568329738	3556	1
blind-6	137270568329738	4884	8
blind-6	137270568329738	4902	1
blind-6	137270568329738	4944	1
blind-6	137270568329738	5366	4
blind-6	137270568329738	6703	4
blind-6	137270568329738	7022	1
blind-6	137270568329738	7349	4
blind-6	137270568329738	8944	4
blind-7	208497242554505	541	1
blind-7	208497242554505	828	1
blind-7	208497242554505	1232	2
blind-7	208497242554505	1400	4
blind-7	208497242554505	1757	8
blind-7	208497242554505	1970	1
blind-7	208497242554505	2274	4
blind-7	208497242554505	2429	8
blind-7	208497242554505	3239	4
blind-7	208497242554505	3353	4
blind-7	208497242554505	3379	4
blind-7	208497242554505	4032	4
blind-7	208497242554505	4070	4
blind-7	208497242554505	4326	4
blind-7	208497242554505	4480	1
blind-7	208497242554505	4621	4
blind-7	208497242554505	4820	1
blind-7	208497242554505	5256	4
blind-7	208497242554505	5575	4
blind-7	208497242554505	5595	1
blind-7	208497242554505	6082	1
blind-7	208497242554505	7584	4
