role	nonce	shot	mask
calibration	8107117281543	728	1
calibration	8107117281543	1210	1
calibration	8107117281543	1776	4
calibration	8107117281543	3082	4
calibration	8107117281543	4047	1
calibration	8107117281543	5502	8
calibration	8107117281543	5914	1
calibration	8107117281543	6800	4
calibration	8107117281543	6839	4
calibration	8107117281543	7178	4
calibration	8107117281543	7448	4
calibration	8107117281543	7864	4
calibration	8107117281543	8243	4
calibration	8107117281543	8425	4
calibration	8107117281543	8789	1
blind-0	189068497220738	37	1
blind-0	189068497220738	1632	1
blind-0	189068497220738	1810	4
blind-0	189068497220738	2052	1
blind-0	189068497220738	3015	4
blind-0	189068497220738	3189	2
blind-0	189068497220738	3955	8
blind-0	189068497220738	4078	4
blind-0	189068497220738	4368	4
blind-0	189068497220738	4809	1
blind-0	189068497220738	5897	4
blind-0	189068497220738	6502	4
blind-0	189068497220738	6563	8
blind-0	189068497220738	6680	1
blind-0	189068497220738	6705	4
blind-0	189068497220738	7177	1
blind-0	189068497220738	7629	1
blind-0	189068497220738	8863	4
blind-1	21629349832285	265	1
blind-1	21629349832285	811	4
blind-1	21629349832285	1409	4
blind-1	21629349832285	2687	1
blind-1	21629349832285	2701	1
blind-1	21629349832285	3394	1
blind-1	21629349832285	3741	1
blind-1	21629349832285	4095	4
blind-1	21629349832285	4587	4
blind-1	21629349832285	5317	1
blind-1	21629349832285	5445	4
blind-1	21629349832285	6765	2
blind-1	21629349832285	8112	4
blind-1	21629349832285	8221	1
blind-1	21629349832285	8403	4
blind-1	21629349832285	8468	8
blind-2	264185684603024	362	1
blind-2	264185684603024	621	4
blind-2	264185684603024	670	8
blind-2	264185684603024	679	4
blind-2	264185684603024	925	4
blind-2	264185684603024	1006	4
blind-2	264185684603024	2037	4
blind-2	264185684603024	2174	1
blind-2	264185684603024	2911	8
blind-2	264185684603024	3060	4
blind-2	264185684603024	3645	8
blind-2	264185684603024	3740	1
blind-2	264185684603024	3782	1
blind-2	264185684603024	4760	1
blind-2	264185684603024	6291	1
blind-2	264185684603024	6530	2
blind-2	264185684603024	6577	8
blind-2	264185684603024	7160	1
blind-2	264185684603024	7354	2
blind-2	264185684603024	8637	4
blind-2	264185684603024	8867	4
blind-3	59131327914048	270	1
blind-3	59131327914048	721	4
blind-3	59131327914048	904	1
blind-3	59131327914048	993	4
blind-3	59131327914048	1128	4
blind-3	59131327914048	1759	1
blind-3	59131327914048	2445	1
blind-3	59131327914048	2824	4
blind-3	59131327914048	3925	4
blind-3	59131327914048	6237	1
blind-3	59131327914048	6263	4
blind-3	59131327914048	7071	1
blind-3	59131327914048	7364	8
blind-3	59131327914048	7607	1
blind-3	59131327914048	7731	1
blind-4	49404517679585	175	4
blind-4	49404517679585	623	1
blind-4	49404517679585	1032	4
blind-4	49404517679585	2707	4
blind-4	49404517679585	2925	2
blind-4	49404517679585	3281	4
blind-4	49404517679585	3645	4
blind-4	49404517679585	3663	4
blind-4	49404517679585	4295	8
blind-4	49404517679585	4407	1
blind-4	49404517679585	4731	1
blind-4	49404517679585	5039	1
blind-4	49404517679585	5196	2
blind-4	49404517679585	5200	4
blind-4	49404517679585	6429	4
blind-4	49404517679585	6732	1
blind-4	49404517679585	7109	4
blind-4	49404517679585	8223	1
blind-4	49404517679585	8456	4
blind-4	49404517679585	8569	4
blind-5	235376210219579	242	4
blind-5	235376210219579	392	1
blind-5	235376210219579	505	4
blind-5	235376210219579	661	1
blind-5	235376210219579	969	1
blind-5	235376210219579	3635	4
blind-5	235376210219579	3773	4
blind-5	235376210219579	5614	4
blind-5	235376210219579	5780	4
blind-5	235376210219579	5872	1
blind-5	235376210219579	6185	4
blind-5	235376210219579	6218	8
blind-5	235376210219579	7251	4
blind-5	235376210219579	7922	4
blind-5	235376210219579	7963	4
blind-5	235376210219579	8562	4
