role	nonce	shot	mask
blind-0	249439608138269	81	4
blind-0	249439608138269	468	1
blind-0	249439608138269	1627	1
blind-0	249439608138269	2504	8
blind-0	249439608138269	2506	8
blind-0	249439608138269	3140	4
blind-0	249439608138269	3413	4
blind-0	249439608138269	3900	1
blind-0	249439608138269	5166	4
blind-0	249439608138269	5447	8
blind-0	249439608138269	5475	4
blind-0	249439608138269	5610	1
blind-0	249439608138269	5736	8
blind-0	249439608138269	6273	1
blind-0	249439608138269	7211	1
blind-0	249439608138269	7217	1
blind-0	249439608138269	7241	1
blind-0	249439608138269	7874	1
blind-1	98878030334827	348	4
blind-1	98878030334827	2313	1
blind-1	98878030334827	4147	4
blind-1	98878030334827	4822	8
blind-1	98878030334827	5098	8
blind-1	98878030334827	5120	2
blind-1	98878030334827	5729	4
blind-1	98878030334827	5939	8
blind-1	98878030334827	7349	4
blind-1	98878030334827	7688	4
blind-1	98878030334827	8002	1
blind-1	98878030334827	8220	1
blind-2	53056079276351	573	1
blind-2	53056079276351	868	1
blind-2	53056079276351	1734	4
blind-2	53056079276351	2044	1
blind-2	53056079276351	2424	8
blind-2	53056079276351	2504	8
blind-2	53056079276351	2733	1
blind-2	53056079276351	4373	4
blind-2	53056079276351	5026	4
blind-2	53056079276351	5397	1
blind-2	53056079276351	5405	1
blind-2	53056079276351	6685	4
blind-2	53056079276351	6904	1
blind-2	53056079276351	7262	1
blind-2	53056079276351	7308	2
blind-2	53056079276351	7557	1
blind-3	103425258175788	142	4
blind-3	103425258175788	153	4
blind-3	103425258175788	1078	1
blind-3	103425258175788	1180	1
blind-3	103425258175788	2613	8
blind-3	103425258175788	2772	1
blind-3	103425258175788	3706	4
blind-3	103425258175788	4435	1
blind-3	103425258175788	4482	2
blind-3	103425258175788	4956	4
blind-3	103425258175788	4994	4
blind-3	103425258175788	5088	4
blind-3	103425258175788	5544	1
blind-3	103425258175788	5801	4
blind-3	103425258175788	6264	1
blind-3	103425258175788	6515	1
blind-3	103425258175788	6703	2
blind-3	103425258175788	6979	1
blind-3	103425258175788	7646	8
blind-3	103425258175788	8698	1
blind-3	103425258175788	8763	4
blind-4	199005865418603	315	4
blind-4	199005865418603	727	1
blind-4	199005865418603	800	1
blind-4	199005865418603	843	4
blind-4	199005865418603	876	4
blind-4	199005865418603	2592	8
blind-4	199005865418603	2875	4
blind-4	199005865418603	3676	1
blind-4	199005865418603	3711	1
blind-4	199005865418603	3961	4
blind-4	199005865418603	4937	4
blind-4	199005865418603	5154	4
blind-4	199005865418603	6010	1
blind-4	199005865418603	6786	4
blind-4	199005865418603	6826	4
blind-4	199005865418603	7624	4
blind-4	199005865418603	8131	4
blind-5	112571846698931	534	1
blind-5	112571846698931	1782	4
blind-5	112571846698931	2523	4
blind-5	112571846698931	3189	1
blind-5	112571846698931	3514	1
blind-5	112571846698931	3604	1
blind-5	112571846698931	4025	4
blind-5	112571846698931	4273	1
blind-5	112571846698931	4341	4
blind-5	112571846698931	4383	1
blind-5	112571846698931	5901	2
blind-5	112571846698931	6494	4
blind-5	112571846698931	7259	1
blind-5	112571846698931	7739	4
blind-5	112571846698931	8051	1
blind-5	112571846698931	8249	4
blind-5	112571846698931	8419	2
blind-6	207766533507926	1342	1
blind-6	207766533507926	1649	4
blind-6	207766533507926	1750	4
blind-6	207766533507926	1946	4
blind-6	207766533507926	2237	4
blind-6	207766533507926	2808	4
blind-6	207766533507926	4679	4
blind-6	207766533507926	4770	8
blind-6	207766533507926	5889	4
blind-6	207766533507926	5998	1
blind-6	207766533507926	6913	8
blind-6	207766533507926	7729	1
blind-6	207766533507926	7926	1
blind-6	207766533507926	8051	4
blind-6	207766533507926	8083	1
blind-6	207766533507926	8088	8
blind-6	207766533507926	8886	2
blind-7	58779386481846	38	4
blind-7	58779386481846	1715	1
blind-7	58779386481846	2057	4
blind-7	58779386481846	2479	8
blind-7	58779386481846	2662	1
blind-7	58779386481846	2816	8
blind-7	58779386481846	3884	1
blind-7	58779386481846	5386	4
blind-7	58779386481846	5590	1
blind-7	58779386481846	7111	4
blind-7	58779386481846	7674	4
blind-7	58779386481846	7748	8
blind-7	58779386481846	7996	4
blind-7	58779386481846	8728	4
